Element  Element           A                    B                    C          

   O        O             0.0000000000         0.5810120639         0.0000000000
   Ta       Ta           18.1331668162         1.2681133693       103.1984138540
   Ta       Ni           52.1064355734         2.1109166797        42.8599849291
   Ta       Li           38.9328199721         2.1378660100        25.5138923954
   Ni       Li            2.7488615492         1.1378417495         9.4607502598
   Ni       Ni            5.6269242085         0.9218826716        30.1111664462
   Li       Li            2.0334712891         0.9960830990        13.7180807631
   Li       O            -0.1003904578         0.6364221604        -1.1162449877
   Ni       O             1.1322478702         0.8350883452         2.1543105418
   O        Ta           -0.2293248619         0.6682774987        -2.0007688907
