# Reference      Predicted      Error          #atoms         
-382.50416      -382.28500      0.21916         64.00000       
-303.01471      -303.06607      0.05136         48.00000       
-354.51165      -354.78053      0.26888         58.00000       
-334.71784      -334.91242      0.19458         54.00000       
-354.51493      -354.73752      0.22260         58.00000       
-329.56722      -329.48390      0.08332         53.00000       
-334.81862      -334.95192      0.13331         54.00000       
-358.62683      -358.82298      0.19615         59.00000       
-339.50503      -339.69221      0.18718         55.00000       
-354.53161      -354.56703      0.03542         58.00000       
-359.08575      -359.16876      0.08301         59.00000       
-339.54967      -339.82307      0.27340         55.00000       
-373.50742      -373.03094      0.47647         62.00000       
-334.28577      -334.82396      0.53819         54.00000       
-359.55744      -359.18816      0.36928         59.00000       
-319.27534      -319.49297      0.21763         51.00000       
-378.21358      -377.78831      0.42527         63.00000       
-324.64303      -324.87714      0.23411         52.00000       
-349.78932      -349.81678      0.02746         57.00000       
-364.06349      -363.75128      0.31221         60.00000       
-354.70276      -354.42450      0.27826         58.00000       
-368.88915      -368.48658      0.40257         61.00000       
-359.23284      -359.30113      0.06829         59.00000       
-373.64082      -373.32232      0.31849         62.00000       
-334.25181      -334.65732      0.40551         54.00000       
-349.57624      -349.79097      0.21473         57.00000       
-354.20348      -354.71598      0.51250         58.00000       
-324.22300      -324.10386      0.11914         52.00000       
-329.73699      -329.91122      0.17423         53.00000       
-378.05731      -377.63665      0.42066         63.00000       
-345.03902      -345.02241      0.01661         56.00000       
-368.89252      -368.68222      0.21030         61.00000       
-378.05137      -377.61786      0.43350         63.00000       
-329.44070      -329.81758      0.37688         53.00000       
-319.34431      -319.33328      0.01103         51.00000       
-313.84778      -313.60086      0.24692         50.00000       
-349.56104      -349.94597      0.38493         57.00000       
-373.54734      -373.01572      0.53162         62.00000       
-364.07090      -364.12442      0.05352         60.00000       
-354.24163      -354.73595      0.49432         58.00000       
-344.88968      -345.08520      0.19552         56.00000       
-308.47682      -308.30439      0.17243         49.00000       
-364.22764      -363.87598      0.35166         60.00000       
-313.99838      -313.84512      0.15326         50.00000       
-334.97982      -334.90111      0.07871         54.00000       
-359.63699      -359.46149      0.17550         59.00000       
-368.85895      -368.53261      0.32633         61.00000       
-354.82154      -354.84744      0.02590         58.00000       
-329.93429      -330.05954      0.12525         53.00000       
-344.54995      -345.01015      0.46020         56.00000       
-339.91926      -340.18593      0.26666         55.00000       
-319.39985      -319.38144      0.01841         51.00000       
-345.05378      -344.67394      0.37984         56.00000       
-359.64946      -359.37675      0.27271         59.00000       
-334.88288      -334.84526      0.03762         54.00000       
-313.86873      -313.78147      0.08726         50.00000       
-329.77376      -329.89504      0.12128         53.00000       
-354.76067      -354.84787      0.08720         58.00000       
-339.99180      -339.84892      0.14288         55.00000       
-369.00326      -368.62161      0.38165         61.00000       
-319.27848      -319.56349      0.28502         51.00000       
-364.32368      -363.80362      0.52006         60.00000       
-308.47665      -308.29574      0.18090         49.00000       
-340.21744      -340.15339      0.06405         55.00000       
-364.27840      -363.82868      0.44972         60.00000       
-334.88648      -334.91586      0.02938         54.00000       
-350.14150      -350.02674      0.11476         57.00000       
-330.00366      -329.86913      0.13453         53.00000       
-345.50956      -345.69096      0.18141         56.00000       
-359.57570      -359.24405      0.33165         59.00000       
-324.74052      -324.69168      0.04883         52.00000       
-369.06360      -368.62910      0.43450         61.00000       
-330.12671      -330.21932      0.09261         53.00000       
-335.25579      -335.21975      0.03605         54.00000       
-340.31489      -340.57813      0.26324         55.00000       
-350.06828      -350.08096      0.01267         57.00000       
-354.71169      -354.47562      0.23607         58.00000       
-359.53361      -359.30211      0.23149         59.00000       
-364.31146      -363.85116      0.46031         60.00000       
-368.90082      -368.46200      0.43882         61.00000       
-340.29049      -340.36930      0.07880         55.00000       
-345.37259      -345.43032      0.05773         56.00000       
-350.06362      -349.93106      0.13256         57.00000       
-354.85316      -354.54877      0.30440         58.00000       
-359.49286      -359.23925      0.25362         59.00000       
-364.32870      -363.83612      0.49258         60.00000       
-368.95791      -368.63418      0.32373         61.00000       
-308.47595      -308.32079      0.15517         49.00000       
-313.87138      -313.84333      0.02805         50.00000       
-319.42258      -319.46277      0.04019         51.00000       
-324.80185      -325.12802      0.32618         52.00000       
-330.15713      -330.16050      0.00337         53.00000       
-335.36214      -335.36044      0.00169         54.00000       
-340.37394      -340.49292      0.11898         55.00000       
-350.10624      -350.05208      0.05416         57.00000       
-354.97669      -354.63003      0.34666         58.00000       
-359.52831      -359.29268      0.23563         59.00000       
-308.47721      -308.33478      0.14244         49.00000       
-313.86763      -313.78137      0.08626         50.00000       
-319.44259      -319.47892      0.03633         51.00000       
-325.01363      -325.13035      0.11672         52.00000       
-330.16379      -330.28954      0.12575         53.00000       
-335.36467      -335.39025      0.02558         54.00000       
-340.35187      -340.50400      0.15213         55.00000       
-313.99966      -313.85956      0.14010         50.00000       
-319.39929      -319.37060      0.02868         51.00000       
-330.15779      -330.27947      0.12168         53.00000       
-340.37164      -340.32419      0.04745         55.00000       
-345.46706      -345.49003      0.02296         56.00000       
-350.15789      -350.05341      0.10448         57.00000       
-359.70409      -359.33805      0.36604         59.00000       
-364.31108      -363.85810      0.45298         60.00000       
-368.97402      -368.63017      0.34384         61.00000       
-914.19222      -914.11940      0.07282         108.00000      
-644.16505      -645.09895      0.93390         108.00000      
-779.60411      -779.43160      0.17251         108.00000      
-745.66516      -746.79562      1.13046         108.00000      
-803.87792      -803.58026      0.29766         108.00000      
-820.99202      -822.38722      1.39520         108.00000      
-785.19449      -784.20868      0.98581         108.00000      
-784.15409      -783.52082      0.63327         108.00000      
-739.08267      -740.39223      1.30956         108.00000      
-765.31588      -763.82769      1.48819         108.00000      
-831.12098      -831.45159      0.33061         108.00000      
-811.63315      -812.16841      0.53526         108.00000      
-831.50201      -826.85443      4.64758         108.00000      
-831.80597      -835.86347      4.05750         108.00000      
-882.31069      -883.53977      1.22908         108.00000      
-907.60624      -906.48564      1.12060         108.00000      
-656.64818      -657.80765      1.15948         108.00000      
-897.75516      -898.78773      1.03256         108.00000      
-732.87667      -732.79929      0.07737         108.00000      
-809.79864      -808.19424      1.60440         108.00000      
-799.82263      -798.31679      1.50584         108.00000      
-767.06914      -765.84936      1.21977         108.00000      
-809.16190      -807.98844      1.17346         108.00000      
-875.21874      -874.17857      1.04017         108.00000      
-707.51088      -708.27376      0.76288         108.00000      
-855.17806      -858.60143      3.42336         108.00000      
-754.07548      -753.78550      0.28998         108.00000      
-900.70697      -899.07334      1.63362         108.00000      
-694.57984      -695.91313      1.33329         108.00000      
-733.78040      -732.57695      1.20345         108.00000      
-825.72694      -825.15697      0.56997         108.00000      
-769.79142      -767.28366      2.50776         108.00000      
-866.26902      -866.69599      0.42696         108.00000      
-817.91120      -817.53173      0.37947         108.00000      
-884.96090      -883.35942      1.60149         108.00000      
-669.61531      -670.29698      0.68167         108.00000      
-875.60927      -875.00381      0.60546         108.00000      
-714.56423      -717.13565      2.57142         108.00000      
-703.77513      -706.03595      2.26082         108.00000      
-774.05072      -774.40371      0.35299         108.00000      
-847.74189      -848.67453      0.93264         108.00000      
-857.71186      -857.70958      0.00227         108.00000      
-817.78283      -817.57587      0.20696         108.00000      
-739.47601      -741.51285      2.03684         108.00000      
-731.13500      -730.89923      0.23577         108.00000      
-682.68203      -682.52511      0.15693         108.00000      
-838.73283      -841.57323      2.84040         108.00000      
-829.11903      -831.98877      2.86975         108.00000      
-819.67738      -822.31703      2.63965         108.00000      
-875.34092      -874.17502      1.16590         108.00000      
-777.67167      -775.81932      1.85235         108.00000      
-830.60591      -832.25139      1.64548         108.00000      
-799.87570      -798.41700      1.45871         108.00000      
-707.68710      -708.03666      0.34956         108.00000      
-901.41505      -899.04706      2.36798         108.00000      
-681.53686      -683.36694      1.83009         108.00000      
-733.79379      -732.51152      1.28227         108.00000      
-808.79514      -808.00377      0.79138         108.00000      
-754.37654      -753.64392      0.73262         108.00000      
-744.97027      -744.86840      0.10187         108.00000      
-876.54776      -874.97054      1.57722         108.00000      
-720.12150      -720.66397      0.54247         108.00000      
-868.19715      -866.69472      1.50243         108.00000      
-788.64253      -787.65575      0.98678         108.00000      
-721.34634      -719.88878      1.45756         108.00000      
-850.73527      -850.21694      0.51833         108.00000      
-832.68304      -833.68690      1.00386         108.00000      
-884.91999      -883.24289      1.67710         108.00000      
-817.95077      -817.43977      0.51100         108.00000      
-867.79997      -866.81315      0.98682         108.00000      
-743.57432      -741.94954      1.62478         108.00000      
-824.78304      -835.13243      10.34938        108.00000      
-840.31081      -846.35701      6.04620         108.00000      
-760.18477      -756.84927      3.33550         108.00000      
-720.16274      -720.72365      0.56091         108.00000      
-876.42307      -874.97846      1.44461         108.00000      
-893.08337      -891.49680      1.58657         108.00000      
-820.20635      -818.00971      2.19664         108.00000      
-867.11837      -866.68353      0.43484         108.00000      
-720.73025      -720.43987      0.29038         108.00000      
-884.65696      -883.25229      1.40467         108.00000      
-789.12805      -788.07596      1.05209         108.00000      
-746.92692      -744.82819      2.09873         108.00000      
-694.58679      -695.94570      1.35891         108.00000      
-883.17790      -883.75506      0.57716         108.00000      
-789.05133      -787.95232      1.09902         108.00000      
-875.86547      -876.22085      0.35538         108.00000      
-733.81080      -732.74750      1.06331         108.00000      
-847.07691      -850.44086      3.36395         108.00000      
-829.90985      -832.58373      2.67388         108.00000      
-862.28378      -868.15308      5.86930         108.00000      
-884.74550      -883.26181      1.48369         108.00000      
-836.22329      -834.25104      1.97225         108.00000      
-825.61589      -826.79087      1.17498         108.00000      
-866.51730      -866.56895      0.05165         108.00000      
-808.77352      -807.65735      1.11617         108.00000      
-789.07190      -787.88896      1.18294         108.00000      
-669.11023      -670.64742      1.53719         108.00000      
-860.34345      -858.51497      1.82848         108.00000      
-850.10907      -850.16438      0.05531         108.00000      
-720.67301      -720.65648      0.01654         108.00000      
-779.60751      -777.62683      1.98068         108.00000      
-884.63984      -883.31966      1.32018         108.00000      
-859.50083      -858.57673      0.92410         108.00000      
-851.48349      -850.42072      1.06277         108.00000      
-798.31479      -798.00167      0.31312         108.00000      
-866.25204      -866.43112      0.17908         108.00000      
-841.87845      -841.86379      0.01466         108.00000      
-825.33215      -825.94318      0.61103         108.00000      
-705.87736      -708.06799      2.19064         108.00000      
-885.89020      -893.10281      7.21261         108.00000      
-875.82245      -876.12689      0.30445         108.00000      
-900.66397      -899.07656      1.58742         108.00000      
-788.32799      -786.03701      2.29098         108.00000      
-720.59674      -720.70033      0.10358         108.00000      
-788.40535      -786.99528      1.41007         108.00000      
-798.03797      -797.88762      0.15035         108.00000      
-876.43486      -874.98002      1.45484         108.00000      
-773.83811      -774.27977      0.44166         108.00000      
-841.91257      -842.13487      0.22230         108.00000      
-707.61431      -708.31676      0.70245         108.00000      
-859.74556      -858.44285      1.30271         108.00000      
-825.47774      -825.18888      0.28886         108.00000      
# MSE = 2.12406E+00
# Maxerror = 1.03494E+01
