Element  Element        epsilon               sigma        

   O        O            -0.0000000000         2.2487557409
   Ta       Ta           -0.3616583510         2.3823813158
   Ta       Ni           -0.1325099813         1.9215587242
   Ta       Li        -5901.6096385607         0.3084498163
   Ni       Li           -0.1366719188         2.2066945999
   Ni       Ni           -0.5720830413         2.1022565159
   Li       Li           -0.1274703851         2.3017045241
   Li       O             0.0162679956         1.7755832068
   Ni       O            -0.2459851838         1.6694244408
   O        Ta            0.0432093516         1.7779021184
