Element  Element          D_e                   a                   r_e         

   O        O            -0.0000000000         0.7262816097         2.6407375824
   Ta       Ta            3.6793883513         2.9844092410        -6.8293406175
   Ta       Ni           -0.1187096980         2.5002403050         2.2381799036
   Ta       Li           -0.0544370839         3.1134092545         2.6408022581
   Ni       Li           -0.1548168604         1.1785393276         1.9618842186
   Ni       Ni            2.8408890653         3.9939240376        -6.0609367940
   Li       Li            2.9867117187         3.7295283839        -6.4704833376
   Li       O             0.0162274654         0.8754237780         2.6067700622
   Ni       O            -0.1891023436         0.9507373353         1.6773714866
   O        Ta            0.0351983806         0.8731068519         2.4854650679
