Element  Element          D_e                   a                   r_e                   C          

   O        O            -0.0000000000         0.9313187788         3.2418130775         0.0000000080
   Ta       Ta            3.6793883513         2.9844092410        -6.8293406175     36922.3374752809
   Ta       Ni           -0.0015780145         2.7056935007         3.5029642928     23951.8984272300
   Ta       Li         -181.5611065710         3.2270991162         0.2927227749    -15111.7224492801
   Ni       Li           -0.1100172902         1.2407007922         2.3558302075       735.8645453154
   Ni       Ni            2.8408890653         3.9939240376        -6.0609367940      9183.8688969287
   Li       Li            2.9867117187         3.7295283839        -6.4704833376      7212.2575052424
   Li       O             0.0166738439         0.9435101042         2.6666023378       -10.9304496249
   Ni       O            -0.1607897992         1.0196477255         1.9906097714        38.1214443997
   O        Ta            0.0356097616         0.9722373700         2.6235238174       -40.3886881775
