# Reference      Predicted      Error          #atoms         
-323.98479      -323.96294      0.02185         54.00000       
-320.96706      -320.98732      0.02026         54.00000       
-323.83034      -323.81916      0.01118         54.00000       
-321.64882      -321.63221      0.01661         54.00000       
-326.49398      -326.52380      0.02982         54.00000       
-325.99429      -326.00983      0.01554         54.00000       
-329.36598      -329.34824      0.01774         54.00000       
-328.41631      -328.41312      0.00319         54.00000       
-321.25982      -321.25003      0.00978         54.00000       
-325.07968      -325.09651      0.01683         54.00000       
-327.47561      -327.48267      0.00706         54.00000       
-329.87511      -329.89045      0.01534         54.00000       
-331.41724      -331.38936      0.02788         54.00000       
-334.21218      -334.28399      0.07182         54.00000       
-333.48546      -333.44935      0.03610         54.00000       
-336.26073      -336.22640      0.03432         54.00000       
-336.48679      -336.51038      0.02359         54.00000       
-320.69957      -320.70277      0.00320         54.00000       
-321.22378      -321.20656      0.01723         54.00000       
-322.41345      -322.42968      0.01623         54.00000       
-322.94583      -322.93920      0.00663         54.00000       
-337.11491      -337.09775      0.01716         54.00000       
# MSE = 6.04102E-04
# Maxerror = 7.18158E-02
