# Reference      Predicted      Error          #atoms         
-323.98479      -323.94022      0.04457         54.00000       
-320.96706      -321.03101      0.06395         54.00000       
-323.83034      -323.81922      0.01112         54.00000       
-321.64882      -321.63904      0.00978         54.00000       
-326.49398      -326.43149      0.06249         54.00000       
-325.99429      -326.02824      0.03394         54.00000       
-329.36598      -329.33809      0.02789         54.00000       
-328.41631      -328.47734      0.06103         54.00000       
-321.25982      -321.22474      0.03507         54.00000       
-325.07968      -325.10137      0.02169         54.00000       
-327.47561      -327.44850      0.02712         54.00000       
-329.87511      -329.99329      0.11818         54.00000       
-331.41724      -331.35493      0.06231         54.00000       
-334.21218      -334.12848      0.08370         54.00000       
-333.48546      -333.50737      0.02191         54.00000       
-336.26073      -336.33929      0.07857         54.00000       
-336.48679      -336.48722      0.00043         54.00000       
-320.69957      -320.68888      0.01068         54.00000       
-321.22378      -321.21791      0.00588         54.00000       
-322.41345      -322.45939      0.04594         54.00000       
-322.94583      -322.91919      0.02665         54.00000       
-337.11491      -337.07652      0.03839         54.00000       
# MSE = 2.46552E-03
# Maxerror = 1.18182E-01
