# Reference      Predicted      Error          #atoms         
-323.98479      -323.98479      0.00000         54.00000       
-320.96706      -320.96706      0.00000         54.00000       
-323.83034      -323.83034      0.00000         54.00000       
-321.64882      -321.64882      0.00000         54.00000       
-326.49398      -326.49398      0.00000         54.00000       
-325.99429      -325.99429      0.00000         54.00000       
-329.36598      -329.36598      0.00000         54.00000       
-328.41631      -328.41631      0.00000         54.00000       
-321.25982      -321.25982      0.00000         54.00000       
-325.07968      -325.07968      0.00000         54.00000       
-327.47561      -327.47561      0.00000         54.00000       
-329.87511      -329.87511      0.00000         54.00000       
-331.41724      -331.41724      0.00000         54.00000       
-334.21218      -334.21218      0.00000         54.00000       
-333.48546      -333.48546      0.00000         54.00000       
-336.26073      -336.26073      0.00000         54.00000       
-336.48679      -336.48679      0.00000         54.00000       
-320.69957      -320.69957      0.00000         54.00000       
-321.22378      -321.22378      0.00000         54.00000       
-322.41345      -322.41345      0.00000         54.00000       
-322.94583      -322.94583      0.00000         54.00000       
-337.11491      -337.11491      0.00000         54.00000       
# MSE = 2.43807E-25
# Maxerror = 8.52651E-13
