Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -393.4692    -398.0476       4.5784   553.4
0.0005        -393.4692    -398.0443       4.5750   553.0
0.0010        -393.4692    -398.0341       4.5649   551.8
0.0015        -393.4692    -398.0172       4.5480   549.8
0.0020        -393.4692    -397.9937       4.5245   546.9
0.0025        -393.4692    -397.9635       4.4943   543.3
0.0030        -393.4692    -397.9269       4.4577   538.8
0.0035        -393.4692    -397.8838       4.4146   533.6
0.0040        -393.4692    -397.8346       4.3654   527.7
0.0045        -393.4692    -397.7792       4.3101   521.0
0.0050        -393.4692    -397.7181       4.2489   513.6
0.0055        -393.4691    -397.6514       4.1822   505.5
0.0060        -393.4691    -397.5793       4.1102   496.8
0.0065        -393.4691    -397.5022       4.0331   487.5
0.0070        -393.4691    -397.4204       3.9513   477.6
0.0075        -393.4691    -397.3342       3.8651   467.2
0.0080        -393.4690    -397.2439       3.7749   456.3
0.0085        -393.4690    -397.1500       3.6810   445.0
0.0090        -393.4690    -397.0528       3.5838   433.2
0.0095        -393.4690    -396.9526       3.4837   421.1
0.0100        -393.4689    -396.8501       3.3811   408.7
0.0105        -393.4689    -396.7454       3.2765   396.1
0.0110        -393.4689    -396.6392       3.1703   383.2
0.0115        -393.4689    -396.5319       3.0630   370.3
0.0120        -393.4688    -396.4238       2.9550   357.2
0.0125        -393.4688    -396.3155       2.8467   344.1
0.0130        -393.4688    -396.2073       2.7386   331.0
0.0135        -393.4687    -396.0998       2.6311   318.0
0.0140        -393.4687    -395.9934       2.5247   305.2
0.0145        -393.4687    -395.8884       2.4197   292.5
0.0150        -393.4687    -395.7853       2.3166   280.0
0.0155        -393.4686    -395.6845       2.2158   267.9
0.0160        -393.4686    -395.5863       2.1177   256.0
0.0165        -393.4686    -395.4913       2.0227   244.5
0.0170        -393.4686    -395.3996       1.9310   233.4
0.0175        -393.4686    -395.3118       1.8432   222.8
0.0180        -393.4685    -395.2281       1.7596   212.7
0.0185        -393.4685    -395.1489       1.6804   203.1
0.0190        -393.4685    -395.0744       1.6059   194.1
0.0195        -393.4685    -395.0050       1.5365   185.7
0.0200        -393.4685    -394.9407       1.4723   178.0
0.0205        -393.4685    -394.8820       1.4135   170.9
0.0210        -393.4685    -394.8288       1.3603   164.4
0.0215        -393.4685    -394.7813       1.3129   158.7
0.0220        -393.4685    -394.7397       1.2712   153.7
0.0225        -393.4685    -394.7038       1.2354   149.3
0.0230        -393.4685    -394.6738       1.2054   145.7
0.0235        -393.4685    -394.6496       1.1812   142.8
0.0240        -393.4685    -394.6312       1.1627   140.5
0.0245        -393.4685    -394.6184       1.1499   139.0
0.0250        -393.4685    -394.6110       1.1426   138.1
0.0255        -393.4685    -394.6091       1.1406   137.9
0.0260        -393.4685    -394.6123       1.1437   138.3
0.0265        -393.4685    -394.6204       1.1519   139.2
0.0270        -393.4685    -394.6332       1.1647   140.8
0.0275        -393.4686    -394.6506       1.1820   142.9
0.0280        -393.4686    -394.6722       1.2036   145.5
0.0285        -393.4686    -394.6977       1.2291   148.6
0.0290        -393.4686    -394.7270       1.2584   152.1
0.0295        -393.4686    -394.7597       1.2911   156.1
0.0300        -393.4686    -394.7957       1.3270   160.4
0.0305        -393.4686    -394.8345       1.3659   165.1
0.0310        -393.4687    -394.8760       1.4073   170.1
0.0315        -393.4687    -394.9198       1.4511   175.4
0.0320        -393.4687    -394.9657       1.4970   181.0
0.0325        -393.4687    -395.0132       1.5445   186.7
0.0330        -393.4687    -395.0622       1.5935   192.6
0.0335        -393.4688    -395.1123       1.6435   198.7
0.0340        -393.4688    -395.1632       1.6944   204.8
0.0345        -393.4688    -395.2146       1.7458   211.0
0.0350        -393.4688    -395.2662       1.7974   217.3
0.0355        -393.4688    -395.3177       1.8489   223.5
0.0360        -393.4688    -395.3690       1.9001   229.7
