# Reference      Predicted      Error          #atoms         
-648.04662      -648.04662      0.00000         120.00000      
-645.95114      -645.95114      0.00000         120.00000      
-670.99697      -670.99697      0.00000         120.00000      
-675.18991      -675.18991      0.00000         120.00000      
-686.76900      -686.76900      0.00000         120.00000      
-686.60637      -686.60637      0.00000         120.00000      
-694.69350      -694.69350      0.00000         120.00000      
-697.16688      -697.16688      0.00000         120.00000      
-664.68044      -664.68044      0.00000         120.00000      
-654.21212      -654.21212      0.00000         120.00000      
-693.99751      -693.99751      0.00000         120.00000      
-691.27435      -691.27435      0.00000         120.00000      
-707.75120      -707.75120      0.00000         120.00000      
-706.42896      -706.42896      0.00000         120.00000      
-719.62767      -719.62767      0.00000         120.00000      
-717.41574      -717.41574      0.00000         120.00000      
-673.19245      -673.19245      0.00000         120.00000      
-650.01209      -650.01209      0.00000         120.00000      
-690.23725      -690.23725      0.00000         120.00000      
-689.54048      -689.54048      0.00000         120.00000      
-722.36882      -722.36882      0.00000         120.00000      
-721.52213      -721.52213      0.00000         120.00000      
-734.42269      -734.42269      0.00000         120.00000      
-735.25319      -735.25319      0.00000         120.00000      
-560.14822      -560.14822      0.00000         120.00000      
-590.08664      -590.08664      0.00000         120.00000      
-628.99201      -628.99201      0.00000         120.00000      
-667.57207      -667.57207      0.00000         120.00000      
-701.89128      -701.89128      0.00000         120.00000      
-702.29462      -702.29462      0.00000         120.00000      
-716.62618      -716.62618      0.00000         120.00000      
-716.72959      -716.72959      0.00000         120.00000      
-306.64665      -306.64665      0.00000         120.00000      
-153.84377      -153.84377      0.00000         120.00000      
-453.14625      -453.14625      0.00000         120.00000      
-450.76852      -450.76852      0.00000         120.00000      
-556.69228      -556.69228      0.00000         120.00000      
-503.09928      -503.09928      0.00000         120.00000      
-576.87079      -576.87079      0.00000         120.00000      
-586.49886      -586.49886      0.00000         120.00000      
-738.25767      -738.25767      0.00000         120.00000      
-418.91824      -418.91824      0.00000         80.00000       
-401.47834      -401.47834      0.00000         80.00000       
-435.71930      -435.71930      0.00000         80.00000       
-442.74990      -442.74990      0.00000         80.00000       
-449.43579      -449.43579      0.00000         80.00000       
-449.71926      -449.71926      0.00000         80.00000       
-457.72054      -457.72054      0.00000         80.00000       
-458.24359      -458.24359      0.00000         80.00000       
-431.90658      -431.90658      0.00000         80.00000       
-432.86606      -432.86606      0.00000         80.00000       
-442.33868      -442.33868      0.00000         80.00000       
-449.73832      -449.73832      0.00000         80.00000       
-460.74424      -460.74424      0.00000         80.00000       
-458.47069      -458.47069      0.00000         80.00000       
-468.24473      -468.24473      0.00000         80.00000       
-467.57608      -467.57608      0.00000         80.00000       
-412.55718      -412.55718      0.00000         80.00000       
-429.10800      -429.10800      0.00000         80.00000       
-445.78283      -445.78283      0.00000         80.00000       
-436.70548      -436.70548      0.00000         80.00000       
-466.45000      -466.45000      0.00000         80.00000       
-467.61149      -467.61149      0.00000         80.00000       
-476.18592      -476.18592      0.00000         80.00000       
-476.82035      -476.82035      0.00000         80.00000       
-416.73597      -416.73597      0.00000         80.00000       
-418.61026      -418.61026      0.00000         80.00000       
-443.97353      -443.97353      0.00000         80.00000       
-437.36044      -437.36044      0.00000         80.00000       
-464.93817      -464.93817      0.00000         80.00000       
-457.66088      -457.66088      0.00000         80.00000       
-471.10295      -471.10295      0.00000         80.00000       
-470.48308      -470.48308      0.00000         80.00000       
-304.07445      -304.07445      0.00000         80.00000       
-277.02362      -277.02362      0.00000         80.00000       
-393.66560      -393.66560      0.00000         80.00000       
-324.50008      -324.50008      0.00000         80.00000       
-382.14944      -382.14944      0.00000         80.00000       
-399.74180      -399.74180      0.00000         80.00000       
# MSE = 2.96111E-21
# Maxerror = 1.37902E-10
