Element  Element           A                    B                    C          

   O        O             0.2867858523         0.7987191594        -9.4774816821
   Ni       Ni           42.3324449692         1.1096165169       390.8561812547
   Li       Li            3.8439963174         1.2613439941        23.1003521755
   Ni       Ta        28750.4930902398         1.2785937991    170775.0011265867
   Li       Ta        58813.4484607584         1.7001617754    168750.2138096140
   Li       Ni          -33.5541612650         1.1675593587      -401.7906709472
   Li       O             2.8864100034         0.8266984143         6.0105820673
   Ni       O           -16.2682813001         1.2123872012       -28.6655132007
   O        Ta         -152.7509592830        66.5179256692     43534.8290775603
