# Reference      Predicted      Error          #atoms         
-23.77281       -23.78298       0.01017         4.00000        
-66.60003       -66.60375       0.00372         11.00000       
-66.51539       -66.52119       0.00580         11.00000       
-84.84923       -84.85124       0.00201         14.00000       
-85.45299       -85.44789       0.00510         14.00000       
-85.45299       -85.44789       0.00510         14.00000       
-61.59446       -61.58771       0.00675         10.00000       
-61.44685       -61.44488       0.00197         10.00000       
-80.11449       -80.11809       0.00360         13.00000       
-80.32522       -80.31735       0.00787         13.00000       
-584.65000      -584.65063      0.00063         96.00000       
-80.35086       -80.34084       0.01002         13.00000       
-80.32573       -80.32579       0.00006         13.00000       
-597.11338      -597.11338      0.00000         96.00000       
-597.17145      -597.17145      0.00000         96.00000       
-23.77338       -23.77840       0.00501         4.00000        
-23.78002       -23.79021       0.01019         4.00000        
-182.01820      -182.01812      0.00008         32.00000       
-183.80749      -183.80757      0.00008         32.00000       
-12.36670       -12.36603       0.00067         2.00000        
-579.55968      -579.55803      0.00164         95.00000       
-12.36673       -12.36740       0.00067         2.00000        
-344.48777      -344.48629      0.00148         56.00000       
-86.12363       -86.12926       0.00564         14.00000       
-574.52002      -574.52338      0.00337         94.00000       
-613.65256      -613.65111      0.00145         102.00000      
-637.18948      -637.18836      0.00112         107.00000      
-532.68894      -532.69228      0.00334         86.00000       
-516.53213      -516.53076      0.00137         83.00000       
-66.60003       -66.60375       0.00372         11.00000       
-90.36811       -90.36928       0.00117         15.00000       
# MSE = 2.06913E-05
# Maxerror = 1.01895E-02
