 #Reference     Predicted       Error      No_of_atoms  structure_no 
 -23.77281031  -23.77954958    0.00673927             4             0
 -23.77281031  -23.77954958    0.00673927             4             1
 -66.60002866  -66.59765191    0.00237675            11             2
 -66.60002866  -66.59765191    0.00237675            11             3
 -66.51538982  -66.51196687    0.00342295            11             4
 -66.51538982  -66.51196687    0.00342295            11             5
 -84.84923303  -84.84549687    0.00373616            14             6
 -84.84923303  -84.84549687    0.00373616            14             7
 -85.45299075  -85.45961818    0.00662743            14             8
 -85.45299075  -85.45961818    0.00662743            14             9
 -85.45299075  -85.45961818    0.00662743            14            10
 -85.45299075  -85.45961818    0.00662743            14            11
 -61.59446288  -61.60404881    0.00958593            10            12
 -61.59446288  -61.60404881    0.00958593            10            13
 -61.44684560  -61.45172428    0.00487868            10            14
 -61.44684560  -61.45172428    0.00487868            10            15
 -80.11449370  -80.12389497    0.00940127            13            16
 -80.11449370  -80.12389497    0.00940127            13            17
 -80.32521559  -80.32351712    0.00169847            13            18
 -80.32521559  -80.32351712    0.00169847            13            19
-584.64999591 -584.66276316    0.01276725            96            20
-584.64999591 -584.66276316    0.01276725            96            21
 -18.72886359  -18.72754311    0.00132048             3            22
 -18.72886359  -18.72754311    0.00132048             3            23
 -80.35085579  -80.33537975    0.01547604            13            24
 -80.35085579  -80.33537975    0.01547604            13            25
 -80.32573124  -80.32431669    0.00141455            13            26
 -80.32573124  -80.32431669    0.00141455            13            27
-597.11338334 -597.09943068    0.01395266            96            28
-597.11338334 -597.09943068    0.01395266            96            29
-597.17145138 -597.18336264    0.01191126            96            30
-597.17145138 -597.18336264    0.01191126            96            31
 -23.77338365  -23.77167651    0.00170714             4            32
 -23.77338365  -23.77167651    0.00170714             4            33
 -23.78002123  -23.76996550    0.01005573             4            34
 -23.78002123  -23.76996550    0.01005573             4            35
-182.01820103 -182.01787121    0.00032982            32            36
-182.01820103 -182.01787121    0.00032982            32            37
-183.80748624 -183.80815214    0.00066590            32            38
-183.80748624 -183.80815214    0.00066590            32            39
 -12.36670271  -12.36718380    0.00048109             2            40
 -12.36670271  -12.36718380    0.00048109             2            41
-579.55967503 -579.56416562    0.00449059            95            42
-579.55967503 -579.56416562    0.00449059            95            43
 -12.36672810  -12.36624701    0.00048109             2            44
 -12.36672810  -12.36624701    0.00048109             2            45
-344.48777227 -344.48861769    0.00084542            56            46
-344.48777227 -344.48861769    0.00084542            56            47
 -86.12362636  -86.12028805    0.00333831            14            48
 -86.12362636  -86.12028805    0.00333831            14            49
-574.52001784 -574.53206632    0.01204848            94            50
-574.52001784 -574.53206632    0.01204848            94            51
-613.65256359 -613.66133094    0.00876735           102            52
-613.65256359 -613.66133094    0.00876735           102            53
-637.18948297 -637.20800892    0.01852595           107            54
-637.18948297 -637.20800892    0.01852595           107            55
-532.68894072 -532.69573935    0.00679863            86            56
-532.68894072 -532.69573935    0.00679863            86            57
-516.53213179 -516.53028963    0.00184216            83            58
-516.53213179 -516.53028963    0.00184216            83            59
 -66.60002866  -66.59765191    0.00237675            11            60
 -66.60002866  -66.59765191    0.00237675            11            61
 -90.36810561  -90.36372603    0.00437958            15            62
 -90.36810561  -90.36372603    0.00437958            15            63
