# Reference      Predicted      Error          #atoms         
-574.10720      -574.41601      0.30881         94.00000       
-595.85441      -596.12210      0.26768         98.00000       
-611.17501      -611.20999      0.03498         101.00000      
-528.89185      -528.88787      0.00398         85.00000       
-545.21000      -545.16313      0.04687         88.00000       
-601.98344      -601.89130      0.09215         99.00000       
-611.43191      -611.34768      0.08423         101.00000      
-591.88584      -591.84265      0.04319         97.00000       
-586.86842      -586.81992      0.04850         96.00000       
-550.36500      -550.28348      0.08152         89.00000       
-644.16505      -644.21534      0.05030         108.00000      
-561.35502      -561.36306      0.00804         91.00000       
-596.92828      -596.86584      0.06243         98.00000       
-528.99055      -528.96852      0.02203         85.00000       
-512.53322      -512.54991      0.01669         82.00000       
-630.23237      -630.21323      0.01915         105.00000      
-534.46816      -534.45617      0.01199         86.00000       
-625.51854      -625.50193      0.01661         104.00000      
-539.98154      -539.91000      0.07154         87.00000       
-606.70478      -606.61971      0.08508         100.00000      
-571.60208      -571.59370      0.00838         93.00000       
-507.07740      -507.07998      0.00257         81.00000       
-518.04808      -518.03693      0.01115         83.00000       
-566.48475      -566.47771      0.00704         92.00000       
-534.48221      -534.45472      0.02749         86.00000       
-571.52644      -571.59388      0.06744         93.00000       
-545.41257      -545.36086      0.05171         88.00000       
-528.98736      -528.99009      0.00273         85.00000       
-620.82419      -620.79143      0.03277         103.00000      
-576.68696      -576.66587      0.02109         94.00000       
-556.29073      -556.25347      0.03726         90.00000       
-550.84639      -550.80783      0.03856         89.00000       
-580.77211      -581.02023      0.24812         95.00000       
-545.40690      -545.36140      0.04550         88.00000       
-620.84694      -620.78761      0.05934         103.00000      
-539.97689      -539.92199      0.05490         87.00000       
-518.01908      -518.03641      0.01733         83.00000       
-591.87799      -591.84467      0.03332         97.00000       
-586.84870      -586.82596      0.02274         96.00000       
-534.50711      -534.46242      0.04469         86.00000       
-571.57649      -571.59190      0.01541         93.00000       
-523.49911      -523.52490      0.02579         84.00000       
-528.98234      -528.97224      0.01010         85.00000       
-565.46499      -565.58103      0.11604         92.00000       
-576.65112      -576.67425      0.02313         94.00000       
-566.43575      -566.47599      0.04024         92.00000       
-581.75543      -581.74842      0.00701         95.00000       
-517.95890      -518.01771      0.05881         83.00000       
-534.49518      -534.44794      0.04723         86.00000       
-639.53340      -639.53909      0.00569         107.00000      
-576.65936      -576.67175      0.01239         94.00000       
-518.02333      -518.03003      0.00670         83.00000       
-586.93173      -586.82009      0.11163         96.00000       
-630.17285      -630.20351      0.03066         105.00000      
-580.94916      -581.07877      0.12961         95.00000       
-611.39357      -611.34725      0.04632         101.00000      
-545.39843      -545.36519      0.03324         88.00000       
-616.08348      -616.08043      0.00305         102.00000      
-625.50569      -625.48967      0.01602         104.00000      
-634.76338      -634.87149      0.10811         106.00000      
-581.77473      -581.74417      0.03056         95.00000       
-616.15139      -616.07951      0.07188         102.00000      
-539.98776      -539.91429      0.07348         87.00000       
-571.60800      -571.59765      0.01035         93.00000       
-523.49933      -523.51180      0.01247         84.00000       
-554.93342      -554.96385      0.03043         90.00000       
-591.90065      -591.84338      0.05727         97.00000       
-528.97559      -528.98111      0.00553         85.00000       
-621.01420      -620.78128      0.23292         103.00000      
-539.96845      -539.92035      0.04811         87.00000       
-576.70619      -576.67293      0.03326         94.00000       
-581.78695      -581.74566      0.04129         95.00000       
-523.49666      -523.51561      0.01895         84.00000       
-576.73045      -576.67174      0.05871         94.00000       
-566.48470      -566.48681      0.00211         92.00000       
-575.57716      -575.84852      0.27136         94.00000       
-555.33740      -555.33496      0.00245         90.00000       
-580.62180      -580.80377      0.18198         95.00000       
# MSE = 7.15343E-03
# Maxerror = 3.08813E-01
