#Reference      Predicted      Error      No_of_atoms structure_no
-1807.35026541 -1808.314163594322 0.9638981843220336 66 0
-884.08777382 -884.1380774559175 0.050303635917430256 40 1
-1668.42279261 -1668.1308028201638 0.2919897898361796 67 2
-1660.37716412 -1660.0297247750184 0.3474393449816944 66 3
-821.86671395 -821.8023931736674 0.06432077633257904 32 4
-1635.84421633 -1635.3963986665988 0.447817663401338 63 5
-1627.34324202 -1627.1306971379377 0.21254488206227506 62 6
-1652.22404807 -1651.8088273545272 0.4152207154727421 65 7
-1916.45948006 -1918.0685718846914 1.6090918246914043 80 8
-1791.04406136 -1791.6549229348686 0.6108615748687498 64 9
-1783.17836539 -1782.9890459317498 0.18931945825011098 63 10
-1774.51136192 -1774.8614665865985 0.3501046665985541 62 11
-1768.25607532 -1768.2234423889604 0.032632931039643154 80 12
-2068.97633445 -2069.09803009516 0.12169564515988895 80 13
-1034.11246771 -1034.0358766143092 0.07659109569067368 40 14
-2069.50788317 -2069.102429295658 0.40545387434167424 80 15
-2069.3179326 -2068.3400063491035 0.9779262508964166 80 16
-1034.71590748 -1034.106023165505 0.6098843144950479 40 17
-2069.36136972 -2069.1426205448242 0.21874917517561698 80 18
