# Reference      Predicted      Error          #atoms         
-1807.35027     -1807.58290     0.23264         66.00000       
-884.08777      -883.88072      0.20706         40.00000       
-1668.42279     -1668.34750     0.07530         67.00000       
-1660.37716     -1660.14940     0.22776         66.00000       
-821.86671      -822.15668      0.28997         32.00000       
-1635.84422     -1635.74659     0.09762         63.00000       
-1627.34324     -1627.44292     0.09968         62.00000       
-1652.22405     -1652.13067     0.09338         65.00000       
-1916.45948     -1917.92550     1.46602         80.00000       
-1791.04406     -1791.28135     0.23728         64.00000       
-1783.17837     -1783.16595     0.01241         63.00000       
-1774.51136     -1774.30421     0.20715         62.00000       
-1768.25608     -1767.75080     0.50527         80.00000       
-2068.97633     -2068.98887     0.01253         80.00000       
-1034.11247     -1034.12922     0.01675         40.00000       
-2069.50788     -2069.35389     0.15399         80.00000       
-2069.31793     -2068.69158     0.62635         80.00000       
-1034.71591     -1034.30436     0.41155         40.00000       
-2069.36137     -2069.46839     0.10702         80.00000       
# MSE = 1.77263E-01
# Maxerror = 1.46602E+00
