Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1800.9013   -1808.3142       7.4129   868.9
0.0005       -1800.9013   -1808.3136       7.4124   868.9
0.0010       -1800.9013   -1808.3130       7.4117   868.8
0.0015       -1800.9013   -1808.3123       7.4110   868.7
0.0020       -1800.9013   -1808.3115       7.4102   868.6
0.0025       -1800.9013   -1808.3105       7.4093   868.5
0.0030       -1800.9013   -1808.3095       7.4082   868.4
0.0035       -1800.9013   -1808.3084       7.4071   868.2
0.0040       -1800.9013   -1808.3071       7.4058   868.1
0.0045       -1800.9013   -1808.3058       7.4045   867.9
0.0050       -1800.9013   -1808.3044       7.4031   867.8
