Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -104.757     -104.757        0.000     0.0
0.0005         -104.757     -104.757        0.000     0.0
0.0010         -104.757     -104.757        0.000     0.0
0.0015         -104.757     -104.757        0.000     0.0
0.0020         -104.757     -104.757        0.000     0.0
0.0025         -104.757     -104.757        0.000     0.0
0.0030         -104.757     -104.757        0.000     0.0
0.0035         -104.757     -104.757        0.000     0.0
0.0040         -104.757     -104.757        0.000     0.0
0.0045         -104.757     -104.757        0.000     0.0
0.0050         -104.757     -104.757        0.000     0.0
0.0055         -104.757     -104.757        0.000     0.0
0.0060         -104.757     -104.757        0.000     0.0
0.0065         -104.757     -104.757        0.000     0.0
0.0070         -104.757     -104.757        0.000     0.0
0.0075         -104.757     -104.757        0.000     0.0
0.0080         -104.757     -104.757        0.000     0.0
0.0085         -104.757     -104.757        0.000     0.0
0.0090         -104.757     -104.757        0.000     0.0
0.0095         -104.757     -104.757        0.000     0.0
0.0100         -104.757     -104.757        0.000     0.0
0.0105         -104.757     -104.757        0.000     0.0
0.0110         -104.757     -104.757        0.000     0.0
0.0115         -104.757     -104.757        0.000     0.0
0.0120         -104.757     -104.757        0.000     0.0
0.0125         -104.757     -104.757        0.000     0.0
0.0130         -104.757     -104.757        0.000     0.0
0.0135         -104.757     -104.757        0.000     0.0
0.0140         -104.757     -104.757        0.000     0.0
0.0145         -104.757     -104.757        0.000     0.0
0.0150         -104.757     -104.757        0.000     0.0
0.0155         -104.757     -104.757        0.000     0.0
0.0160         -104.757     -104.757        0.000     0.0
0.0165         -104.757     -104.757        0.000     0.0
0.0170         -104.757     -104.757        0.000     0.0
0.0175         -104.757     -104.757        0.000     0.0
0.0180         -104.757     -104.757        0.000     0.0
0.0185         -104.757     -104.757        0.000     0.0
0.0190         -104.757     -104.757        0.000     0.0
0.0195         -104.757     -104.757        0.000     0.0
0.0200         -104.757     -104.757        0.000     0.0
0.0205         -104.757     -104.757        0.000     0.0
0.0210         -104.757     -104.757        0.000     0.0
0.0215         -104.757     -104.757        0.000     0.0
0.0220         -104.757     -104.757        0.000     0.0
0.0225         -104.757     -104.757        0.000     0.0
0.0230         -104.757     -104.757        0.000     0.0
0.0235         -104.757     -104.757        0.000     0.0
0.0240         -104.757     -104.757        0.000     0.0
0.0245         -104.757     -104.757        0.000     0.0
0.0250         -104.757     -104.757        0.000     0.0
0.0255         -104.757     -104.757        0.000     0.0
0.0260         -104.757     -104.757        0.000     0.0
0.0265         -104.757     -104.757        0.000     0.0
0.0270         -104.757     -104.757        0.000     0.0
0.0275         -104.757     -104.757        0.000     0.0
0.0280         -104.757     -104.757        0.000     0.0
0.0285         -104.757     -104.757        0.000     0.0
0.0290         -104.757     -104.757        0.000     0.0
0.0295         -104.757     -104.757        0.000     0.0
0.0300         -104.757     -104.757        0.000     0.0
0.0305         -104.757     -104.757        0.000     0.0
0.0310         -104.757     -104.757        0.000     0.0
0.0315         -104.757     -104.757        0.000     0.0
0.0320         -104.757     -104.757        0.000     0.0
0.0325         -104.757     -104.757        0.000     0.0
0.0330         -104.757     -104.757        0.000     0.0
0.0335         -104.757     -104.757        0.000     0.0
0.0340         -104.757     -104.757        0.000     0.0
0.0345         -104.757     -104.757        0.000     0.0
0.0350         -104.757     -104.757        0.000     0.0
0.0355         -104.757     -104.757        0.000     0.0
0.0360         -104.757     -104.757        0.000     0.0
0.0365         -104.757     -104.757        0.000     0.0
0.0370         -104.757     -104.757        0.000     0.0
0.0375         -104.757     -104.757        0.000     0.0
0.0380         -104.757     -104.757        0.000     0.0
0.0385         -104.757     -104.757        0.000     0.0
0.0390         -104.757     -104.757        0.000     0.0
0.0395         -104.757     -104.757        0.000     0.0
0.0400         -104.757     -104.757        0.000     0.0
0.0405         -104.757     -104.757        0.000     0.0
0.0410         -104.757     -104.757        0.000     0.0
0.0415         -104.757     -104.757        0.000     0.0
0.0420         -104.757     -104.757        0.000     0.0
0.0425         -104.757     -104.757        0.000     0.0
0.0430         -104.757     -104.757        0.000     0.0
0.0435         -104.757     -104.757        0.000     0.0
0.0440         -104.757     -104.757        0.000     0.0
0.0445         -104.757     -104.757        0.000     0.0
0.0450         -104.757     -104.757        0.000     0.0
0.0455         -104.757     -104.757        0.000     0.0
0.0460         -104.757     -104.757        0.000     0.0
0.0465         -104.757     -104.757        0.000     0.0
0.0470         -104.757     -104.757        0.000     0.0
0.0475         -104.757     -104.757        0.000     0.0
0.0480         -104.757     -104.757        0.000     0.0
0.0485         -104.757     -104.757        0.000     0.0
0.0490         -104.757     -104.757        0.000     0.0
0.0495         -104.757     -104.757        0.000     0.0
0.0500         -104.757     -104.757        0.000     0.0
0.0505         -104.757     -104.757        0.000     0.0
0.0510         -104.757     -104.757        0.000     0.0
0.0515         -104.757     -104.757        0.000     0.0
0.0520         -104.757     -104.757        0.000     0.0
0.0525         -104.757     -104.757        0.000     0.0
0.0530         -104.757     -104.757        0.000     0.0
0.0535         -104.757     -104.757        0.000     0.0
0.0540         -104.757     -104.757        0.000     0.0
0.0545         -104.757     -104.757        0.000     0.0
0.0550         -104.757     -104.757        0.000     0.0
0.0555         -104.757     -104.757        0.000     0.0
0.0560         -104.757     -104.757        0.000     0.0
0.0565         -104.757     -104.757        0.000     0.0
0.0570         -104.757     -104.757        0.000     0.0
0.0575         -104.757     -104.757        0.000     0.0
0.0580         -104.757     -104.757        0.000     0.0
0.0585         -104.757     -104.757        0.000     0.0
0.0590         -104.757     -104.757        0.000     0.0
0.0595         -104.757     -104.757        0.000     0.0
0.0600         -104.757     -104.757        0.000     0.0
0.0605         -104.757     -104.757        0.000     0.0
0.0610         -104.757     -104.757        0.000     0.0
0.0615         -104.757     -104.757        0.000     0.0
0.0620         -104.757     -104.757        0.000     0.0
0.0625         -104.757     -104.757        0.000     0.0
0.0630         -104.757     -104.757        0.000     0.0
0.0635         -104.757     -104.757        0.000     0.0
0.0640         -104.757     -104.757        0.000     0.0
0.0645         -104.757     -104.757        0.000     0.0
0.0650         -104.757     -104.757        0.000     0.0
0.0655         -104.757     -104.757        0.000     0.0
0.0660         -104.757     -104.757        0.000     0.0
0.0665         -104.757     -104.757        0.000     0.0
0.0670         -104.757     -104.757        0.000     0.0
0.0675         -104.757     -104.757        0.000     0.0
0.0680         -104.757     -104.757        0.000     0.0
0.0685         -104.757     -104.757        0.000     0.0
0.0690         -104.757     -104.757        0.000     0.0
0.0695         -104.757     -104.757        0.000     0.0
0.0700         -104.757     -104.757        0.000     0.0
0.0705         -104.757     -104.757        0.000     0.0
0.0710         -104.757     -104.757        0.000     0.0
0.0715         -104.757     -104.757        0.000     0.0
0.0720         -104.757     -104.757        0.000     0.0
0.0725         -104.757     -104.757        0.000     0.0
0.0730         -104.757     -104.757        0.000     0.0
0.0735         -104.757     -104.757        0.000     0.0
0.0740         -104.757     -104.757        0.000     0.0
0.0745         -104.757     -104.757        0.000     0.0
0.0750         -104.757     -104.757        0.000     0.0
0.0755         -104.757     -104.757        0.000     0.0
0.0760         -104.757     -104.757        0.000     0.0
0.0765         -104.757     -104.757        0.000     0.0
0.0770         -104.757     -104.757        0.000     0.0
0.0775         -104.757     -104.757        0.000     0.0
0.0780         -104.757     -104.757        0.000     0.0
0.0785         -104.757     -104.757        0.000     0.0
0.0790         -104.757     -104.757        0.000     0.0
0.0795         -104.757     -104.757        0.000     0.0
0.0800         -104.757     -104.757        0.000     0.0
0.0805         -104.757     -104.757        0.000     0.0
0.0810         -104.757     -104.757        0.000     0.0
0.0815         -104.757     -104.757        0.000     0.0
0.0820         -104.757     -104.757        0.000     0.0
0.0825         -104.757     -104.757        0.000     0.0
0.0830         -104.757     -104.757        0.000     0.0
0.0835         -104.757     -104.757        0.000     0.0
0.0840         -104.757     -104.757        0.000     0.0
0.0845         -104.757     -104.757        0.000     0.0
0.0850         -104.757     -104.757        0.000     0.0
0.0855         -104.757     -104.757        0.000     0.0
0.0860         -104.757     -104.757        0.000     0.0
0.0865         -104.757     -104.757        0.000     0.0
0.0870         -104.757     -104.757        0.000     0.0
0.0875         -104.757     -104.757        0.000     0.0
0.0880         -104.757     -104.757        0.000     0.0
0.0885         -104.757     -104.757        0.000     0.0
0.0890         -104.757     -104.757        0.000     0.0
0.0895         -104.757     -104.757        0.000     0.0
0.0900         -104.757     -104.757        0.000     0.0
0.0905         -104.757     -104.757        0.000     0.0
0.0910         -104.757     -104.757        0.000     0.0
0.0915         -104.757     -104.757        0.000     0.0
0.0920         -104.757     -104.757        0.000     0.0
0.0925         -104.757     -104.757        0.000     0.0
0.0930         -104.757     -104.757        0.000     0.0
0.0935         -104.757     -104.757        0.000     0.0
0.0940         -104.757     -104.757        0.000     0.0
0.0945         -104.757     -104.757        0.000     0.0
0.0950         -104.757     -104.757        0.000     0.0
0.0955         -104.757     -104.757        0.000     0.0
0.0960         -104.757     -104.757        0.000     0.0
0.0965         -104.757     -104.757        0.000     0.0
0.0970         -104.757     -104.757        0.000     0.0
0.0975         -104.757     -104.757        0.000     0.0
0.0980         -104.757     -104.757        0.000     0.0
0.0985         -104.757     -104.757        0.000     0.0
0.0990         -104.757     -104.757        0.000     0.0
0.0995         -104.757     -104.757        0.000     0.0
0.1000         -104.757     -104.757        0.000     0.0
0.1005         -104.757     -104.757        0.000     0.0
0.1010         -104.757     -104.757        0.000     0.0
0.1015         -104.757     -104.757        0.000     0.0
0.1020         -104.757     -104.757        0.000     0.0
0.1025         -104.757     -104.757        0.000     0.0
0.1030         -104.757     -104.757        0.000     0.0
0.1035         -104.757     -104.757        0.000     0.0
0.1040         -104.757     -104.757        0.000     0.0
0.1045         -104.757     -104.757        0.000     0.0
0.1050         -104.757     -104.757        0.000     0.0
0.1055         -104.757     -104.757        0.000     0.0
0.1060         -104.757     -104.757        0.000     0.0
0.1065         -104.757     -104.757        0.000     0.0
0.1070         -104.757     -104.757        0.000     0.0
0.1075         -104.757     -104.757        0.000     0.0
0.1080         -104.757     -104.757        0.000     0.0
0.1085         -104.757     -104.757        0.000     0.0
0.1090         -104.757     -104.757        0.000     0.0
0.1095         -104.757     -104.757        0.000     0.0
0.1100         -104.757     -104.757        0.000     0.0
0.1105         -104.757     -104.757        0.000     0.0
0.1110         -104.757     -104.757        0.000     0.0
0.1115         -104.757     -104.757        0.000     0.0
0.1120         -104.757     -104.757        0.000     0.0
0.1125         -104.757     -104.757        0.000     0.0
0.1130         -104.757     -104.757        0.000     0.0
0.1135         -104.757     -104.757        0.000     0.0
0.1140         -104.757     -104.757        0.000     0.0
0.1145         -104.757     -104.757        0.000     0.0
0.1150         -104.757     -104.757        0.000     0.0
0.1155         -104.757     -104.757        0.000     0.0
0.1160         -104.757     -104.757        0.000     0.0
0.1165         -104.757     -104.757        0.000     0.0
0.1170         -104.757     -104.757        0.000     0.0
0.1175         -104.757     -104.757        0.000     0.0
0.1180         -104.757     -104.757        0.000     0.0
0.1185         -104.757     -104.757        0.000     0.0
0.1190         -104.757     -104.757        0.000     0.0
0.1195         -104.757     -104.757        0.000     0.0
0.1200         -104.757     -104.757        0.000     0.0
0.1205         -104.757     -104.757        0.000     0.0
0.1210         -104.757     -104.757        0.000     0.0
0.1215         -104.757     -104.757        0.000     0.0
0.1220         -104.757     -104.757        0.000     0.0
0.1225         -104.757     -104.757        0.000     0.0
0.1230         -104.757     -104.757        0.000     0.0
0.1235         -104.757     -104.757        0.000     0.0
0.1240         -104.757     -104.757        0.000     0.0
0.1245         -104.757     -104.757        0.000     0.0
0.1250         -104.757     -104.757        0.000     0.0
0.1255         -104.757     -104.757        0.000     0.0
0.1260         -104.757     -104.757        0.000     0.0
0.1265         -104.757     -104.757        0.000     0.0
0.1270         -104.757     -104.757        0.000     0.0
0.1275         -104.757     -104.757        0.000     0.0
0.1280         -104.757     -104.757        0.000     0.0
0.1285         -104.757     -104.757        0.000     0.0
0.1290         -104.757     -104.757        0.000     0.0
0.1295         -104.757     -104.757        0.000     0.0
0.1300         -104.757     -104.757        0.000     0.0
0.1305         -104.757     -104.757        0.000     0.0
0.1310         -104.757     -104.757        0.000     0.0
0.1315         -104.757     -104.757        0.000     0.0
0.1320         -104.757     -104.757        0.000     0.0
0.1325         -104.757     -104.757        0.000     0.0
0.1330         -104.757     -104.757        0.000     0.0
0.1335         -104.757     -104.757        0.000     0.0
0.1340         -104.757     -104.757        0.000     0.0
0.1345         -104.757     -104.757        0.000     0.0
0.1350         -104.757     -104.757        0.000     0.0
0.1355         -104.757     -104.757        0.000     0.0
0.1360         -104.757     -104.757        0.000     0.0
0.1365         -104.757     -104.757        0.000     0.0
0.1370         -104.757     -104.757        0.000     0.0
0.1375         -104.757     -104.757        0.000     0.0
0.1380         -104.757     -104.757        0.000     0.0
0.1385         -104.757     -104.757        0.000     0.0
0.1390         -104.757     -104.757        0.000     0.0
0.1395         -104.757     -104.757        0.000     0.0
0.1400         -104.757     -104.757        0.000     0.0
0.1405         -104.757     -104.757        0.000     0.0
0.1410         -104.757     -104.757        0.000     0.0
0.1415         -104.757     -104.757        0.000     0.0
0.1420         -104.757     -104.757        0.000     0.0
0.1425         -104.757     -104.757        0.000     0.0
0.1430         -104.757     -104.757        0.000     0.0
0.1435         -104.757     -104.757        0.000     0.0
0.1440         -104.757     -104.757        0.000     0.0
0.1445         -104.757     -104.757        0.000     0.0
0.1450         -104.757     -104.757        0.000     0.0
0.1455         -104.757     -104.757        0.000     0.0
0.1460         -104.757     -104.757        0.000     0.0
0.1465         -104.757     -104.757        0.000     0.0
0.1470         -104.757     -104.757        0.000     0.0
0.1475         -104.757     -104.757        0.000     0.0
0.1480         -104.757     -104.757        0.000     0.0
0.1485         -104.757     -104.757        0.000     0.0
0.1490         -104.757     -104.757        0.000     0.0
0.1495         -104.757     -104.757        0.000     0.0
0.1500         -104.757     -104.757        0.000     0.0
