Element  Element           A                    B                    C          

   O        O            78.1792807662         1.0441524482       465.8628822545
   Ni       Ni          244.9611709709         1.1481599849      2020.6856216525
   Li       Li            3.4402794161         1.0856272894        23.9322092001
   Ni       Ta           38.5150374448       106.0374011257     -4081.6679931651
   Ta       Ta           82.5370615051         1.5307737678       401.4435615745
   Li       Ta           53.6225842020         1.3346255555       328.6552948036
   Li       Ni           71.9269516185         1.2929601801       409.7870155389
   Li       O           -18.1171675861         1.7243687992        10.5749557630
   Ni       O           -11.0837104099        33.2303005755       297.1534934256
   O        Ta           -5.0020660818        22.5928846832       271.0994725093
