# Reference      Predicted      Error          #atoms         
-23.77281       -23.78234       0.00953         4.00000        
-66.60003       -66.60374       0.00371         11.00000       
-84.84923       -84.85122       0.00198         14.00000       
-85.45299       -85.44805       0.00494         14.00000       
-85.45299       -85.44805       0.00494         14.00000       
-61.59446       -61.58618       0.00828         10.00000       
-61.44685       -61.44381       0.00304         10.00000       
-80.11449       -80.11774       0.00324         13.00000       
-80.32522       -80.31615       0.00907         13.00000       
-584.65000      -584.65025      0.00026         96.00000       
-80.35086       -80.34303       0.00783         13.00000       
-80.32573       -80.32550       0.00023         13.00000       
-597.11338      -597.11338      0.00000         96.00000       
-597.17145      -597.17145      0.00000         96.00000       
-23.77338       -23.77857       0.00519         4.00000        
-23.78002       -23.79012       0.01010         4.00000        
-182.01820      -182.01810      0.00011         32.00000       
-183.80749      -183.80760      0.00011         32.00000       
-12.36670       -12.36616       0.00055         2.00000        
-579.55968      -579.55863      0.00105         95.00000       
-12.36673       -12.36727       0.00055         2.00000        
-344.48777      -344.48588      0.00190         56.00000       
-86.12363       -86.13085       0.00722         14.00000       
-574.52002      -574.52318      0.00316         94.00000       
-613.65256      -613.65123      0.00134         102.00000      
-637.18948      -637.18827      0.00122         107.00000      
-532.68894      -532.69220      0.00326         86.00000       
-516.53213      -516.53091      0.00122         83.00000       
-66.60003       -66.60374       0.00371         11.00000       
-90.36811       -90.37050       0.00239         15.00000       
-2388.25420     -2388.25420     0.00000         384.00000      
-2387.78771     -2387.78771     0.00000         384.00000      
-2387.99686     -2387.99686     0.00000         384.00000      
-2387.34060     -2387.34060     0.00000         384.00000      
-2387.63544     -2387.63544     0.00000         384.00000      
-2387.75675     -2387.75675     0.00000         384.00000      
-2387.59354     -2387.59354     0.00000         384.00000      
-66.51539       -66.52059       0.00520         11.00000       
# MSE = 1.70364E-05
# Maxerror = 1.00988E-02
