 #Reference     Predicted       Error      No_of_atoms  structure_no 
 -23.77281031  -23.78233951    0.00952920             4             0
 -66.60002866  -66.60373520    0.00370654            11             1
 -84.84923303  -84.85121762    0.00198459            14             2
 -85.45299075  -85.44804891    0.00494184            14             3
 -85.45299075  -85.44804891    0.00494184            14             4
 -61.59446288  -61.58587354    0.00858934            10             5
 -61.44684560  -61.44376845    0.00307715            10             6
 -80.11449370  -80.11773694    0.00324324            13             7
 -80.32521559  -80.31614604    0.00906955            13             8
-584.64999591 -584.64961186    0.00038405            96             9
 -80.35085579  -80.34302810    0.00782769            13            10
 -80.32573124  -80.32550394    0.00022730            13            11
-597.11338334 -597.29141876    0.17803542            96            12
-597.17145138 -597.52110714    0.34965576            96            13
 -23.77338365  -23.77857082    0.00518717             4            14
 -23.78002123  -23.79012002    0.01009879             4            15
-182.01820103 -182.01712861    0.00107242            32            16
-183.80748624 -183.80662983    0.00085641            32            17
 -12.36670271  -12.36615689    0.00054582             2            18
-579.55967503 -579.55801854    0.00165649            95            19
 -12.36672810  -12.36727392    0.00054582             2            20
-344.48777227 -344.48587577    0.00189650            56            21
 -86.12362636  -86.13085047    0.00722411            14            22
-574.52001784 -574.52230875    0.00229091            94            23
-613.65256359 -613.65122709    0.00133650           102            24
-637.18948297 -637.18826945    0.00121352           107            25
-532.68894072 -532.69220279    0.00326207            86            26
-516.53213179 -516.53091331    0.00121848            83            27
 -66.60002866  -66.60373520    0.00370654            11            28
 -90.36810561  -90.37049519    0.00238958            15            29
-2388.25420376 -2389.33472484    1.08052108           384            30
-2387.78770542 -2388.89019820    1.10249278           384            31
-2387.99686444 -2389.00807907    1.01121463           384            32
-2387.34060041 -2388.14711129    0.80651088           384            33
-2387.63543949 -2388.58172112    0.94628163           384            34
-2387.75675044 -2389.10253143    1.34578099           384            35
-2387.59353700 -2388.83129256    1.23775556           384            36
 -66.51538982  -66.52058531    0.00519549            11            37
