Element  Element        epsilon               sigma        

   O        O            -4.5287931064         2.2283090095
   Ni       Ni           -6.2966150885         2.4957755675
   Li       Li           -0.1352657089         2.4174463312
   Ni       Ta     -2982512.8212029017         0.2644635394
   Ta       Ta           -0.3021395908         2.5849353709
   Li       Ta           -0.5988701629         2.5517139024
   Li       Ni           -1.2303784394         2.4125673081
   Li       O             1.0839944680         1.5741521167
   Ni       O            13.0958371970         1.5668926964
   O        Ta           13.0661777870         1.8221541319
