Element  Element          D_e                   a                   r_e                   C          

   O        O             1.0479240299         8.4984766152         0.0006945773         0.3173352140
   Ni       Ni            1.2094260986         7.3424447967         0.0014257982         0.8148124906
   Li       Li            0.0000000665         4.4987380915         0.0867708273         0.0431463844
   Ni       Ta            0.7355389096         7.0493024923         0.0067393522         1.2021712582
   Ta       Ta            0.0000000381         4.2078484018         0.0868079083         0.0848118724
   Li       Ta            0.0000000001         4.0212726510         0.0010383795         0.1855861116
   Li       Ni            0.9637845796         7.9095435341         0.0000796475        -0.5988540440
   Li       O            18.1182169098         1.9333532901         0.0000000000       -18.1187854850
   Ni       O            10.6040497950         0.8173423977         1.5423874486        -9.7760352300
   O        Ta           14.6577505876         0.7638157395         2.7143037033       -12.6262551590
