# Reference      Predicted      Error          #atoms         
-574.10720      -574.40359      0.29639         94.00000       
-595.85441      -596.10397      0.24955         98.00000       
-611.17501      -611.21143      0.03642         101.00000      
-528.89185      -528.88199      0.00986         85.00000       
-545.21000      -545.16210      0.04790         88.00000       
-601.98344      -601.90584      0.07760         99.00000       
-611.43191      -611.35565      0.07626         101.00000      
-591.88584      -591.84690      0.03894         97.00000       
-586.86842      -586.81901      0.04941         96.00000       
-550.36500      -550.27282      0.09218         89.00000       
-644.16505      -644.21301      0.04797         108.00000      
-561.35502      -561.36654      0.01152         91.00000       
-596.92828      -596.87386      0.05441         98.00000       
-528.99055      -528.96893      0.02162         85.00000       
-512.53322      -512.55399      0.02076         82.00000       
-630.23237      -630.20866      0.02372         105.00000      
-534.46816      -534.45768      0.01049         86.00000       
-625.51854      -625.50126      0.01729         104.00000      
-539.98154      -539.91157      0.06997         87.00000       
-606.70478      -606.62825      0.07653         100.00000      
-571.60208      -571.59373      0.00835         93.00000       
-507.07740      -507.09317      0.01577         81.00000       
-518.04808      -518.03561      0.01247         83.00000       
-566.48475      -566.47872      0.00603         92.00000       
-534.48221      -534.45592      0.02629         86.00000       
-571.52644      -571.59044      0.06400         93.00000       
-545.41257      -545.36644      0.04612         88.00000       
-528.98736      -528.98841      0.00105         85.00000       
-620.82419      -620.79322      0.03098         103.00000      
-576.68696      -576.66470      0.02226         94.00000       
-556.29073      -556.26536      0.02537         90.00000       
-550.84639      -550.81562      0.03077         89.00000       
-580.77211      -581.00135      0.22924         95.00000       
-545.40690      -545.36806      0.03884         88.00000       
-620.84694      -620.79010      0.05684         103.00000      
-539.97689      -539.92413      0.05276         87.00000       
-518.01908      -518.03581      0.01674         83.00000       
-591.87799      -591.84925      0.02874         97.00000       
-586.84870      -586.82733      0.02137         96.00000       
-534.50711      -534.46430      0.04281         86.00000       
-571.57649      -571.59090      0.01442         93.00000       
-523.49911      -523.52331      0.02420         84.00000       
-528.98234      -528.97404      0.00830         85.00000       
-565.46499      -565.56904      0.10405         92.00000       
-576.65112      -576.67163      0.02051         94.00000       
-566.43575      -566.47451      0.03876         92.00000       
-581.75543      -581.74783      0.00760         95.00000       
-517.95890      -518.01887      0.05996         83.00000       
-534.49518      -534.44990      0.04528         86.00000       
-639.53340      -639.53891      0.00551         107.00000      
-576.65936      -576.67013      0.01078         94.00000       
-518.02333      -518.02670      0.00337         83.00000       
-586.93173      -586.82298      0.10875         96.00000       
-630.17285      -630.20405      0.03120         105.00000      
-580.94916      -581.06086      0.11170         95.00000       
-611.39357      -611.35520      0.03837         101.00000      
-545.39843      -545.37226      0.02617         88.00000       
-616.08348      -616.08494      0.00146         102.00000      
-625.50569      -625.48963      0.01606         104.00000      
-634.76338      -634.87188      0.10850         106.00000      
-581.77473      -581.74470      0.03003         95.00000       
-616.15139      -616.08437      0.06702         102.00000      
-539.98776      -539.91730      0.07047         87.00000       
-571.60800      -571.59597      0.01203         93.00000       
-523.49933      -523.50769      0.00835         84.00000       
-554.93342      -554.96370      0.03028         90.00000       
-591.90065      -591.84876      0.05189         97.00000       
-528.97559      -528.97990      0.00431         85.00000       
-621.01420      -620.78222      0.23198         103.00000      
-539.96845      -539.92174      0.04672         87.00000       
-576.70619      -576.67293      0.03326         94.00000       
-581.78695      -581.74560      0.04135         95.00000       
-523.49666      -523.51226      0.01560         84.00000       
-576.73045      -576.67115      0.05931         94.00000       
-566.48470      -566.49382      0.00912         92.00000       
-575.57716      -575.83691      0.25975         94.00000       
-555.33740      -555.32835      0.00905         90.00000       
-580.62180      -580.79039      0.16859         95.00000       
# MSE = 6.43414E-03
# Maxerror = 2.96388E-01
