# Reference      Predicted      Error          #atoms         
-574.10720      -574.14990      0.04270         94.00000       
-574.07724      -574.16380      0.08656         94.00000       
-574.08822      -574.08810      0.00013         94.00000       
-574.10076      -574.07810      0.02266         94.00000       
-595.85441      -595.96506      0.11065         98.00000       
-595.85441      -595.96506      0.11065         98.00000       
-611.17501      -611.11926      0.05575         101.00000      
-611.17404      -611.08328      0.09075         101.00000      
-528.89185      -528.89080      0.00105         85.00000       
-528.89148      -528.85886      0.03263         85.00000       
-545.21000      -545.17219      0.03781         88.00000       
-545.20927      -545.14582      0.06345         88.00000       
-601.98344      -601.95277      0.03068         99.00000       
-601.98344      -601.95277      0.03068         99.00000       
-611.43191      -611.40580      0.02611         101.00000      
-611.43191      -611.40580      0.02611         101.00000      
-591.88584      -591.96754      0.08170         97.00000       
-591.78707      -591.86546      0.07840         97.00000       
-591.83108      -591.68397      0.14712         97.00000       
-591.84711      -591.95719      0.11008         97.00000       
-591.86710      -591.93731      0.07021         97.00000       
-591.87830      -591.96571      0.08742         97.00000       
-586.86842      -587.10839      0.23997         96.00000       
-586.81739      -587.00137      0.18398         96.00000       
-586.84621      -587.02211      0.17590         96.00000       
-586.86138      -587.07819      0.21680         96.00000       
-550.36500      -550.04399      0.32101         89.00000       
-550.36270      -550.02720      0.33550         89.00000       
-644.16505      -644.16649      0.00144         108.00000      
-644.16505      -644.16649      0.00144         108.00000      
-561.35502      -561.12752      0.22751         91.00000       
-561.26124      -561.25418      0.00706         91.00000       
-561.29815      -561.26757      0.03058         91.00000       
-561.31609      -561.15892      0.15718         91.00000       
-561.33045      -561.20836      0.12209         91.00000       
-561.34256      -561.13506      0.20751         91.00000       
-561.35424      -561.14941      0.20484         91.00000       
-596.92828      -596.94522      0.01694         98.00000       
-596.92689      -596.89541      0.03147         98.00000       
-528.99055      -529.08662      0.09607         85.00000       
-528.98766      -529.02347      0.03582         85.00000       
-512.53322      -512.50895      0.02427         82.00000       
-512.52780      -512.51032      0.01748         82.00000       
-630.23237      -630.26632      0.03395         105.00000      
-630.23203      -630.18698      0.04505         105.00000      
-534.46816      -534.58040      0.11224         86.00000       
-534.46816      -534.58040      0.11224         86.00000       
-625.51854      -625.56310      0.04455         104.00000      
-625.51800      -625.50743      0.01057         104.00000      
-539.98154      -539.93787      0.04367         87.00000       
-539.98154      -539.93787      0.04367         87.00000       
-606.70478      -606.72377      0.01899         100.00000      
-606.70478      -606.72377      0.01899         100.00000      
-571.60208      -571.23427      0.36781         93.00000       
-571.40566      -571.45730      0.05165         93.00000       
-571.48695      -571.49430      0.00735         93.00000       
-571.52994      -571.47487      0.05507         93.00000       
-571.55821      -571.43057      0.12763         93.00000       
-571.58284      -571.38165      0.20119         93.00000       
-571.59892      -571.28315      0.31576         93.00000       
-507.07740      -506.97268      0.10472         81.00000       
-507.07740      -506.97268      0.10472         81.00000       
-518.04808      -518.07568      0.02760         83.00000       
-518.04698      -518.04575      0.00123         83.00000       
-566.48475      -566.20165      0.28310         92.00000       
-566.37991      -566.48637      0.10647         92.00000       
-566.41500      -566.46520      0.05020         92.00000       
-566.43002      -566.47874      0.04872         92.00000       
-566.44760      -566.41235      0.03525         92.00000       
-566.46171      -566.39599      0.06572         92.00000       
-566.47595      -566.29061      0.18534         92.00000       
-566.48314      -566.23520      0.24794         92.00000       
-534.48221      -534.57454      0.09233         86.00000       
-534.48164      -534.52024      0.03859         86.00000       
-571.52644      -571.51549      0.01095         93.00000       
-571.36497      -571.48036      0.11538         93.00000       
-571.43622      -571.51772      0.08149         93.00000       
-571.47145      -571.54608      0.07463         93.00000       
-571.49356      -571.52813      0.03457         93.00000       
-571.51217      -571.52389      0.01172         93.00000       
-571.52644      -571.51549      0.01095         93.00000       
-545.41257      -545.38100      0.03157         88.00000       
-545.41257      -545.38100      0.03157         88.00000       
-528.98736      -529.13003      0.14267         85.00000       
-528.98736      -529.13003      0.14267         85.00000       
-620.82419      -620.86934      0.04514         103.00000      
-620.80774      -620.80624      0.00150         103.00000      
-620.81862      -620.88345      0.06482         103.00000      
-576.68696      -576.56001      0.12695         94.00000       
-576.59399      -576.61670      0.02271         94.00000       
-576.63333      -576.74799      0.11466         94.00000       
-576.64979      -576.57487      0.07492         94.00000       
-576.66562      -576.59884      0.06679         94.00000       
-576.68115      -576.58815      0.09300         94.00000       
-556.29073      -556.04083      0.24990         90.00000       
-556.29073      -556.04083      0.24990         90.00000       
-550.84639      -550.78957      0.05683         89.00000       
-550.84639      -550.78957      0.05683         89.00000       
-580.77211      -580.60536      0.16675         95.00000       
-580.70619      -580.94609      0.23991         95.00000       
-580.73692      -580.58898      0.14794         95.00000       
-580.74556      -580.66019      0.08537         95.00000       
-580.75985      -580.66929      0.09055         95.00000       
-580.76898      -580.68492      0.08407         95.00000       
-545.40690      -545.38355      0.02335         88.00000       
-545.40690      -545.38355      0.02335         88.00000       
-620.84694      -620.85706      0.01011         103.00000      
-620.79730      -620.63728      0.16002         103.00000      
-620.80919      -620.53309      0.27610         103.00000      
-620.82032      -620.73215      0.08817         103.00000      
-620.83647      -620.84922      0.01275         103.00000      
-620.84626      -620.87470      0.02843         103.00000      
-539.97689      -540.05277      0.07588         87.00000       
-539.97618      -540.01859      0.04241         87.00000       
-518.01908      -518.02850      0.00942         83.00000       
-518.01831      -518.01714      0.00118         83.00000       
-591.87799      -591.88045      0.00246         97.00000       
-591.84162      -591.86927      0.02765         97.00000       
-591.85762      -591.88676      0.02914         97.00000       
-591.87027      -591.87600      0.00573         97.00000       
-586.84870      -586.86789      0.01919         96.00000       
-586.77272      -586.71843      0.05430         96.00000       
-586.80770      -586.75312      0.05457         96.00000       
-586.82020      -586.86601      0.04581         96.00000       
-586.83053      -586.82679      0.00374         96.00000       
-586.84112      -586.91106      0.06994         96.00000       
-534.50711      -534.59490      0.08779         86.00000       
-534.50711      -534.59490      0.08779         86.00000       
-571.57649      -571.54791      0.02858         93.00000       
-571.45322      -571.58763      0.13441         93.00000       
-571.51004      -571.60516      0.09512         93.00000       
-571.53548      -571.63664      0.10115         93.00000       
-571.55006      -571.55773      0.00767         93.00000       
-571.56603      -571.54549      0.02054         93.00000       
-571.57411      -571.58392      0.00981         93.00000       
-523.49911      -523.51792      0.01881         84.00000       
