# Reference      Predicted      Error          #atoms         
-574.10720      -574.78286      0.67566         94.00000       
-595.85441      -596.40254      0.54813         98.00000       
-611.17501      -611.30124      0.12623         101.00000      
-528.89185      -528.74423      0.14762         85.00000       
-545.21000      -545.04207      0.16793         88.00000       
-601.98344      -601.91632      0.06712         99.00000       
-611.43191      -611.42747      0.00444         101.00000      
-591.88584      -591.70727      0.17857         97.00000       
-586.86842      -586.59556      0.27286         96.00000       
-550.36500      -550.17526      0.18974         89.00000       
-644.16505      -644.09019      0.07486         108.00000      
-561.35502      -560.73829      0.61673         91.00000       
-596.92828      -596.82677      0.10151         98.00000       
-528.99055      -528.82268      0.16787         85.00000       
-512.53322      -512.53381      0.00058         82.00000       
-630.23237      -630.23759      0.00522         105.00000      
-534.46816      -534.35184      0.11632         86.00000       
-625.51854      -625.54987      0.03132         104.00000      
-539.98154      -539.76988      0.21166         87.00000       
-606.70478      -606.68309      0.02169         100.00000      
-571.60208      -571.06839      0.53369         93.00000       
-507.07740      -507.51113      0.43372         81.00000       
-518.04808      -517.94495      0.10313         83.00000       
-566.48475      -565.87866      0.60609         92.00000       
-534.48221      -534.34701      0.13520         86.00000       
-571.52644      -571.12215      0.40429         93.00000       
-545.41257      -545.20217      0.21040         88.00000       
-528.98736      -528.94967      0.03769         85.00000       
-620.82419      -620.86468      0.04049         103.00000      
-576.68696      -576.30935      0.37761         94.00000       
-556.29073      -556.06524      0.22549         90.00000       
-550.84639      -550.63803      0.20837         89.00000       
-580.77211      -581.22639      0.45428         95.00000       
-545.40690      -545.20984      0.19706         88.00000       
-620.84694      -620.86323      0.01629         103.00000      
-539.97689      -539.82064      0.15624         87.00000       
-518.01908      -517.95303      0.06605         83.00000       
-591.87799      -591.69435      0.18364         97.00000       
-586.84870      -586.56255      0.28615         96.00000       
-534.50711      -534.41770      0.08942         86.00000       
-571.57649      -571.07458      0.50190         93.00000       
-523.49911      -523.46085      0.03826         84.00000       
-528.98234      -528.82357      0.15877         85.00000       
-565.46499      -565.58776      0.12277         92.00000       
-576.65112      -576.19512      0.45600         94.00000       
-566.43575      -565.88030      0.55545         92.00000       
-581.75543      -581.38067      0.37476         95.00000       
-517.95890      -517.98961      0.03071         83.00000       
-534.49518      -534.29013      0.20504         86.00000       
-639.53340      -639.46950      0.06390         107.00000      
-576.65936      -576.22270      0.43666         94.00000       
-518.02333      -517.84950      0.17383         83.00000       
-586.93173      -586.55892      0.37281         96.00000       
-630.17285      -630.25736      0.08451         105.00000      
-580.94916      -580.91757      0.03159         95.00000       
-611.39357      -611.45283      0.05926         101.00000      
-545.39843      -545.24122      0.15722         88.00000       
-616.08348      -616.21985      0.13637         102.00000      
-625.50569      -625.57928      0.07359         104.00000      
-634.76338      -634.82345      0.06007         106.00000      
-581.77473      -581.38670      0.38802         95.00000       
-616.15139      -616.16274      0.01134         102.00000      
-539.98776      -539.77503      0.21274         87.00000       
-571.60800      -571.01456      0.59344         93.00000       
-523.49933      -523.43178      0.06755         84.00000       
-554.93342      -555.36780      0.43438         90.00000       
-591.90065      -591.71633      0.18432         97.00000       
-528.97559      -528.85276      0.12283         85.00000       
-621.01420      -620.96425      0.04995         103.00000      
-539.96845      -539.81997      0.14848         87.00000       
-576.70619      -576.17944      0.52675         94.00000       
-581.78695      -581.34175      0.44520         95.00000       
-523.49666      -523.39181      0.10486         84.00000       
-576.73045      -576.16364      0.56681         94.00000       
-566.48470      -566.37241      0.11229         92.00000       
-575.57716      -575.88758      0.31043         94.00000       
-555.33740      -555.26790      0.06951         90.00000       
-580.62180      -580.95991      0.33811         95.00000       
-551.52927      -555.08669      3.55742         91.00000       
-553.76694      -557.12383      3.35690         91.00000       
-557.27544      -559.64602      2.37058         91.00000       
# MSE = 4.44257E-01
# Maxerror = 3.55742E+00
